provincia,nuevas_total,poblacion,positive_percentage
Azuay,29776,881394,3.378284853311913
Bolívar,7670,209933,3.6535466077272276
Carchi,10056,186869,5.381309901588813
Cañar,7245,281396,2.574663463588679
Chimborazo,9579,524004,1.828039480614652
Cotopaxi,12521,488716,2.5620196596796503
El Oro,25088,715751,3.505129577185362
Esmeraldas,10312,591083,1.7445942448014915
Galápagos,1523,33042,4.609285152230495
Guayas,79925,4387434,1.8216798246993575
Imbabura,18024,476257,3.7845113037708633
Loja,19025,521154,3.650552427881202
Los Ríos,14319,921763,1.553436186959121
Manabí,36725,1562079,2.351033462456124
Morona Santiago,7469,196535,3.8003409061999136
Napo,4493,133705,3.360382932575446
Orellana,4182,161338,2.592073782989748
Pastaza,3895,114202,3.4106232815537383
Pichincha,198920,3228233,6.161884845362773
Santa Elena,4982,401178,1.2418427730334165
Sto. Domingo Tsáchilas,12900,511151,2.5237160838969306
Sucumbíos,6660,230503,2.8893333275488824
Tungurahua,16368,590600,2.7714188960379276
Zamora Chinchipe,3279,120416,2.7230600584639912
